hcp_id,prediction_date,candidate_channel,email_freq,email_success_rate,email_recency_days,email_has_history,webinar_freq,webinar_success_rate,webinar_recency_days,webinar_has_history,rep_visit_freq,rep_visit_success_rate,rep_visit_recency_days,rep_visit_has_history,digital_ad_freq,digital_ad_success_rate,digital_ad_recency_days,digital_ad_has_history,phone_call_freq,phone_call_success_rate,phone_call_recency_days,phone_call_has_history,channel_diversity,specialty,segment,territory,practice_type,account_tenure,opt_out_flag,channel_preference,success_probability,rank_in_hcp,recommendation_tier
1,2026-01-03 17:00:00,rep_visit,10,0.2,93.0,1,5,0.4,8.0,1,3,0.0,19.0,1,1,0.0,54.0,1,4,0.0,79.0,1,5,endocrinology,medium_value,TERR_19,hospital,0.5,False,Digital-Heavy,0.2924,0,Primary
1,2026-01-03 17:00:00,webinar,10,0.2,93.0,1,5,0.4,8.0,1,3,0.0,19.0,1,1,0.0,54.0,1,4,0.0,79.0,1,5,endocrinology,medium_value,TERR_19,hospital,0.5,False,Digital-Heavy,0.1836,1,Secondary
1,2026-01-03 17:00:00,phone_call,10,0.2,93.0,1,5,0.4,8.0,1,3,0.0,19.0,1,1,0.0,54.0,1,4,0.0,79.0,1,5,endocrinology,medium_value,TERR_19,hospital,0.5,False,Digital-Heavy,0.1569,2,Supporting
1,2026-01-03 17:00:00,email,10,0.2,93.0,1,5,0.4,8.0,1,3,0.0,19.0,1,1,0.0,54.0,1,4,0.0,79.0,1,5,endocrinology,medium_value,TERR_19,hospital,0.5,False,Digital-Heavy,0.1138,3,Other
1,2026-01-03 17:00:00,digital_ad,10,0.2,93.0,1,5,0.4,8.0,1,3,0.0,19.0,1,1,0.0,54.0,1,4,0.0,79.0,1,5,endocrinology,medium_value,TERR_19,hospital,0.5,False,Digital-Heavy,0.0856,4,Other
2,2026-01-03 17:00:00,rep_visit,3,0.0,117.0,1,2,0.0,222.0,1,1,0.0,199.0,1,2,0.0,164.0,1,3,0.3333333333333333,96.0,1,5,cardiology,low_value,TERR_40,private_practice,3.3,False,In-Person-Heavy,0.2751,0,Primary
2,2026-01-03 17:00:00,webinar,3,0.0,117.0,1,2,0.0,222.0,1,1,0.0,199.0,1,2,0.0,164.0,1,3,0.3333333333333333,96.0,1,5,cardiology,low_value,TERR_40,private_practice,3.3,False,In-Person-Heavy,0.1923,1,Secondary
2,2026-01-03 17:00:00,phone_call,3,0.0,117.0,1,2,0.0,222.0,1,1,0.0,199.0,1,2,0.0,164.0,1,3,0.3333333333333333,96.0,1,5,cardiology,low_value,TERR_40,private_practice,3.3,False,In-Person-Heavy,0.1791,2,Supporting
2,2026-01-03 17:00:00,email,3,0.0,117.0,1,2,0.0,222.0,1,1,0.0,199.0,1,2,0.0,164.0,1,3,0.3333333333333333,96.0,1,5,cardiology,low_value,TERR_40,private_practice,3.3,False,In-Person-Heavy,0.148,3,Other
2,2026-01-03 17:00:00,digital_ad,3,0.0,117.0,1,2,0.0,222.0,1,1,0.0,199.0,1,2,0.0,164.0,1,3,0.3333333333333333,96.0,1,5,cardiology,low_value,TERR_40,private_practice,3.3,False,In-Person-Heavy,0.0767,4,Other
3,2026-01-03 17:00:00,rep_visit,7,0.0,124.0,1,3,0.0,80.0,1,2,0.5,45.0,1,15,0.0,9.0,1,3,0.0,23.0,1,5,cardiology,medium_value,TERR_21,private_practice,0.8,False,Mixed,0.3912,0,Primary
3,2026-01-03 17:00:00,webinar,7,0.0,124.0,1,3,0.0,80.0,1,2,0.5,45.0,1,15,0.0,9.0,1,3,0.0,23.0,1,5,cardiology,medium_value,TERR_21,private_practice,0.8,False,Mixed,0.2223,1,Secondary
3,2026-01-03 17:00:00,email,7,0.0,124.0,1,3,0.0,80.0,1,2,0.5,45.0,1,15,0.0,9.0,1,3,0.0,23.0,1,5,cardiology,medium_value,TERR_21,private_practice,0.8,False,Mixed,0.1977,2,Supporting
3,2026-01-03 17:00:00,phone_call,7,0.0,124.0,1,3,0.0,80.0,1,2,0.5,45.0,1,15,0.0,9.0,1,3,0.0,23.0,1,5,cardiology,medium_value,TERR_21,private_practice,0.8,False,Mixed,0.1834,3,Other
3,2026-01-03 17:00:00,digital_ad,7,0.0,124.0,1,3,0.0,80.0,1,2,0.5,45.0,1,15,0.0,9.0,1,3,0.0,23.0,1,5,cardiology,medium_value,TERR_21,private_practice,0.8,False,Mixed,0.0831,4,Other
4,2026-01-03 17:00:00,rep_visit,6,0.5,59.0,1,8,0.375,26.0,1,2,0.5,73.0,1,3,0.0,16.0,1,7,0.2857142857142857,2.0,1,5,endocrinology,high_value,TERR_25,clinic,5.6,False,Digital-Heavy,0.2301,0,Primary
4,2026-01-03 17:00:00,email,6,0.5,59.0,1,8,0.375,26.0,1,2,0.5,73.0,1,3,0.0,16.0,1,7,0.2857142857142857,2.0,1,5,endocrinology,high_value,TERR_25,clinic,5.6,False,Digital-Heavy,0.1609,1,Secondary
4,2026-01-03 17:00:00,phone_call,6,0.5,59.0,1,8,0.375,26.0,1,2,0.5,73.0,1,3,0.0,16.0,1,7,0.2857142857142857,2.0,1,5,endocrinology,high_value,TERR_25,clinic,5.6,False,Digital-Heavy,0.1558,2,Supporting
4,2026-01-03 17:00:00,webinar,6,0.5,59.0,1,8,0.375,26.0,1,2,0.5,73.0,1,3,0.0,16.0,1,7,0.2857142857142857,2.0,1,5,endocrinology,high_value,TERR_25,clinic,5.6,False,Digital-Heavy,0.1538,3,Other
4,2026-01-03 17:00:00,digital_ad,6,0.5,59.0,1,8,0.375,26.0,1,2,0.5,73.0,1,3,0.0,16.0,1,7,0.2857142857142857,2.0,1,5,endocrinology,high_value,TERR_25,clinic,5.6,False,Digital-Heavy,0.0765,4,Other
5,2026-01-03 17:00:00,rep_visit,2,0.5,149.0,1,3,1.0,129.0,1,12,0.6666666666666666,1.0,1,1,0.0,318.0,1,8,0.25,32.0,1,5,cardiology,low_value,TERR_47,hospital,2.7,False,Mixed,0.4454,0,Primary
5,2026-01-03 17:00:00,webinar,2,0.5,149.0,1,3,1.0,129.0,1,12,0.6666666666666666,1.0,1,1,0.0,318.0,1,8,0.25,32.0,1,5,cardiology,low_value,TERR_47,hospital,2.7,False,Mixed,0.242,1,Secondary
5,2026-01-03 17:00:00,phone_call,2,0.5,149.0,1,3,1.0,129.0,1,12,0.6666666666666666,1.0,1,1,0.0,318.0,1,8,0.25,32.0,1,5,cardiology,low_value,TERR_47,hospital,2.7,False,Mixed,0.2209,2,Supporting
5,2026-01-03 17:00:00,email,2,0.5,149.0,1,3,1.0,129.0,1,12,0.6666666666666666,1.0,1,1,0.0,318.0,1,8,0.25,32.0,1,5,cardiology,low_value,TERR_47,hospital,2.7,False,Mixed,0.1553,3,Other
5,2026-01-03 17:00:00,digital_ad,2,0.5,149.0,1,3,1.0,129.0,1,12,0.6666666666666666,1.0,1,1,0.0,318.0,1,8,0.25,32.0,1,5,cardiology,low_value,TERR_47,hospital,2.7,False,Mixed,0.1113,4,Other
